county,state,Population (2014),Population (2010),% people under 18 (2014),% people over 65 (2014),% female (2014),% white (2014),% black (2014),% asian (2014),% hispanic (2014),% immigrants (2009-2013),"% high school graduate, people over 25 (2009-2013)","% bachelors degree, people over 25 (2009-2013)",# of veterans(2009-2013),"mean travel time to work, mins (2009-2013)",homeownership rate (2009-2013),Per capita money income in past 12 months (2009-2013),median household income (2009-2013),% people below poverty line (2009-2013),land area in square miles (2010),population per square mile (2010),Population  per square mile using 2014 population and 2010 land area
Mineral ,MT,4257,4223,18.3,26.6,47.3,93.7,0.5,0.8,2.8,0.7,89.2,12.1,639,22.9,70.9,19859,33033,18.4,1219.44,3.5,3.490946664
Missoula ,MT,112684,109299,19.4,13.6,49.7,92.1,0.6,1.5,3.1,2.8,94.5,39.1,8903,16.7,58.8,25764,46117,16.5,2593.42,42.1,43.44996183
Musselshell ,MT,4589,4538,19.8,21.3,49.8,95.6,0.6,0.3,3.4,1.8,89.3,13.6,661,28.8,78.5,23022,43409,13,1868.16,2.4,2.456427715
Park ,MT,15880,15636,19.1,19.5,49.8,96.1,0.3,0.4,2.8,2.4,93.2,33.6,1386,22.2,75.1,24611,42426,12.3,2803.06,5.6,5.665237276
Petroleum ,MT,485,494,21.9,21,45.4,98.4,0,0,1.2,0.4,96,15.4,70,16.8,76,22714,41705,11.1,1654.87,0.3,0.29307438
Phillips ,MT,4192,4253,22.6,20.5,50.3,87.2,0.1,0.3,2.1,1.2,91.8,15.9,385,15.9,76.4,22890,42632,14,5140.04,0.8,0.815557856
Pondera ,MT,6219,6153,24.5,19.6,51.3,82.3,0.3,0.3,1.8,3.1,87,20.5,477,17.4,69.1,22256,41277,17.5,1622.86,3.8,3.832123535
Powder River ,MT,1783,1743,17.4,23.6,49.4,95.9,0.1,0.2,2,0,93.1,19.9,136,13.7,69.9,28528,46250,9.2,3297.3,0.5,0.540745458
Powell ,MT,6909,7027,15.6,18.5,38.1,92.3,1.1,0.5,2.3,0.4,90.3,17.8,907,14.9,71.5,19736,40802,15.3,2326.39,3,2.969837388
Prairie ,MT,1148,1179,18.3,30,49.2,94.8,0.3,0.9,2.1,1.7,86.8,16.9,162,16.9,86.9,20644,38036,21.5,1736.74,0.7,0.661008556
Ravalli ,MT,41030,40212,20.3,23.1,50.3,95.7,0.5,0.7,3.3,2.1,92.1,24.5,4460,26.1,72.9,22872,38688,16.8,2390.82,16.8,17.16147598
Richland ,MT,11576,9746,24.7,13,47.7,94.6,0.5,0.5,4.8,1.5,90.2,17.7,759,17.3,69.1,32036,58112,14.2,2084.14,4.7,5.554329364
Roosevelt ,MT,11332,10425,32,10.5,49.7,38.1,0.3,0.4,2.5,0.8,83.9,13.7,504,13.6,58.9,16888,36920,26.6,2354.79,4.4,4.812318721
Rosebud ,MT,9326,9233,29.2,13.6,49.6,59.7,0.3,0.5,4.1,1.4,89.1,22.3,786,14.1,68.5,22229,48789,17.3,5010.4,1.8,1.861328437
Sanders ,MT,11364,11413,18.2,26,48.9,91.8,0.3,0.5,2.5,2.1,87.2,16.7,1537,22,76.6,19188,32881,22,2760.52,4.1,4.11661571
Sheridan ,MT,3696,3384,20.9,20.8,49.1,95,0.4,0.4,2.2,1.3,90.7,23.4,299,12.2,74.4,31378,48667,11.8,1677.08,2,2.203830467
Silver Bow ,MT,34680,34200,20.5,17.3,49.3,94.4,0.5,0.7,4.2,1.9,90.9,22.2,3172,15.6,65.5,23562,38659,19.1,718.48,47.6,48.26856697
Stillwater ,MT,9290,9117,21.6,20.1,49,96.3,0.3,0.4,3.3,1,92.5,22.1,1144,28.1,79.9,28868,57906,7.8,1795.35,5.1,5.174478514
Sweet Grass ,MT,3665,3651,22.2,23.5,50.5,96.8,0.1,0.5,2,1.5,91.7,27.1,304,18.7,73,22743,45938,13.5,1855.21,2,1.975517596
Teton ,MT,6064,6073,23,22,50.9,96,0.1,0.2,1.4,1.6,90.4,24.5,607,20.4,75.9,22799,43327,15.1,2272.38,2.7,2.668567757
Toole ,MT,5150,5324,19.9,15.6,43.6,91,0.8,0.6,3,3.6,88.1,14.6,722,16.3,63.5,23162,46972,16.3,1915.65,2.8,2.688382533
Treasure ,MT,692,718,17.6,27,48,94.9,0.1,0.4,2.7,1.4,86.4,21.3,80,21,70.2,23948,37105,11.3,977.4,0.7,0.708000818
Valley ,MT,7640,7369,22.7,20.8,49.5,87.1,0.4,0.7,2.2,1,91,17.1,718,17.5,69,25685,47181,13.5,4925.82,1.5,1.551010796
Wheatland ,MT,2102,2168,23.1,23.9,50.2,95.4,0.4,0.6,1.7,0,80.4,19.2,223,13.2,71.5,17336,31867,11.2,1423.2,1.5,1.476953345
Wibaux ,MT,1121,1017,21.3,24.6,48.9,97.7,0.1,0.4,2.5,0.4,84,19.6,82,16.9,70.9,27492,41875,13.3,889.27,1.1,1.260584524
Yellowstone ,MT,155634,147972,23.6,15.3,50.9,91.3,0.8,0.8,5.2,1.7,92.3,28.7,13513,19,68.8,27761,51342,12.3,2633.29,56.2,59.10249156
Alamance ,NC,155792,151131,22.9,16.1,52.3,75.5,19.5,1.6,12.1,7.6,83,21.7,10719,23.3,67.1,23166,43043,18.3,423.94,356.5,367.485965
Alexander ,NC,37392,37198,21,18.9,49.2,91.2,5.9,1.1,4.4,2.6,79.3,11.7,2507,24.3,77.5,20440,40637,17.2,259.99,143.1,143.8209162
Alleghany ,NC,10879,11155,18.1,24.5,50.3,95.4,1.9,0.8,9.5,6,79.4,18.3,781,27.3,76.3,19510,35170,19.8,235.06,47.5,46.28180039
Anson ,NC,25765,26948,20.4,16.4,48.2,48.1,48.6,1.1,3.5,3,76.3,10.2,1993,24.8,68.6,16752,33870,24.2,531.45,50.7,48.48057202
Ashe ,NC,27126,27281,18.6,23.6,50.4,97.2,1,0.5,5.3,4.2,81.4,19.5,2320,26.6,76.9,20838,35951,21.1,426.14,64,63.65513681
Avery ,NC,17773,17797,16.1,20.3,45.5,93.6,4.4,0.6,4.7,3.4,81.5,20.4,1417,22.1,76.1,21598,36969,18,247.09,72,71.92925655
Beaufort ,NC,47585,47759,21.2,21.6,51.9,71.8,25.3,0.6,7.5,4.6,81.7,18.3,3994,24.5,70.1,21636,40429,21,827.19,57.7,57.52608228
Bertie ,NC,20106,21282,18.8,19.8,49.9,36.2,61.4,0.6,1.7,1,72.6,10.6,1199,26.2,75.3,17096,30768,23.4,699.27,30.4,28.75284225
Bladen ,NC,34657,35190,21.6,18.7,51.8,60.7,34.6,0.3,7.7,4.6,74.7,10.5,2164,25.5,67.8,19154,30164,25.8,874.33,40.2,39.63835165
Brunswick ,NC,118836,107431,17.2,27,51.4,85.4,11.2,0.7,4.8,4.2,86.3,25.1,13400,23.3,76.4,26839,46438,16.6,846.97,126.8,140.3072128
Buncombe ,NC,250539,238318,19.4,18.1,52,89.6,6.5,1.2,6.5,5.7,89,33.8,20486,20.6,64.5,26159,44713,17.1,656.67,362.9,381.5295354
Burke ,NC,89486,90912,19.9,18.4,50.1,86.4,6.8,3.7,5.8,5.1,76.7,16.6,6383,21.2,71.8,19701,37263,20,507.1,179.3,176.4661802
Cabarrus ,NC,192103,178011,26.2,12.5,51.2,77.4,17.1,2.8,10,7.6,86.4,25.1,12361,26.4,73.1,25247,53551,13.2,361.75,492.1,531.0380097
Caldwell ,NC,81484,83029,21.1,17.8,50.6,92.1,5.1,0.7,5,2.7,75.7,12.5,5602,23.3,71.9,19228,34357,19.5,471.57,176.1,172.7930106
Camden ,NC,10331,9980,23.9,14.9,49.9,82.2,12.6,2.5,2.6,3.1,86.3,18.8,1087,34.7,86.4,25620,56607,6,240.56,41.5,42.94562687
Carteret ,NC,68811,66469,18.4,21.8,50.7,89.7,6.2,1.2,4.3,3.4,88.3,23.9,9062,23.5,70.2,27496,46534,14.4,506.25,131.3,135.922963
Caswell ,NC,23082,23719,19,19.6,49.2,64,33.5,0.3,3.6,1.7,73.2,9,1441,32.5,71.8,17975,35315,22.6,424.92,55.8,54.32081333
Catawba ,NC,154534,154358,23,16.2,50.9,84.7,8.9,4.1,8.9,7.1,82.3,21,11011,22.4,71.1,23232,44332,15.2,398.72,387.1,387.5752408
Chatham ,NC,68698,63505,20.3,23.6,52.1,82.2,13.1,1.8,12.8,10,85.8,36.4,5598,26.6,79.9,31175,57091,12.4,682.19,93.1,100.7021504
Cherokee ,NC,27141,27444,17.9,26.7,51.3,93.8,1.6,0.7,2.8,2.7,81.9,16.7,2740,22.3,82.1,18340,34432,17.9,455.43,60.3,59.59422963
Chowan ,NC,14572,14793,21.1,22.4,52.4,63.2,34.2,0.7,3.2,4.4,79.7,20.1,1221,26.6,66.4,19240,34420,29,172.47,85.8,84.49005624
Clay ,NC,10581,10587,17.8,28.2,50.8,96.8,1.1,0.2,3,3.4,86.9,20.6,1365,20.5,80.7,22081,38828,24.3,214.75,49.3,49.27124563
Cleveland ,NC,97076,98078,22.3,17.1,51.8,76.1,20.9,1,3.1,2.4,82,16.3,6802,23.5,68,20062,38989,19.3,464.25,211.3,209.1028541
Columbus ,NC,56953,58098,22.3,17.7,50.7,63.9,30.5,0.4,4.9,3,79.2,12.2,4042,24,71.5,19275,35761,25,937.29,62,60.76347769
Craven ,NC,104510,103505,22.5,17.1,49.2,72.2,21.7,2.6,7.1,4.7,87.2,21,13147,21,63.6,24260,47141,16.6,708.96,146,147.4131122
Cumberland ,NC,326328,319431,25.8,10.8,51,53.2,37.6,2.7,11,5.6,89.2,22.7,42332,21.5,54.8,23067,45231,17,652.32,489.7,500.2575423
Currituck ,NC,24976,23547,22.1,14.9,50.3,90.4,6.1,0.8,3.7,3.1,85,18.4,2698,33.9,80.2,25854,57159,9.8,261.85,89.9,95.38285278
Dare ,NC,35104,33920,19.6,18.7,50.6,94,3,0.6,6.8,5.9,91.5,30.6,3135,19,70.7,30529,55481,8.8,383.42,88.5,91.55495279
Davidson ,NC,164072,162878,22.7,16.8,51,86.9,9.4,1.4,6.8,4.6,80.4,17.6,11671,23.7,73,22549,43083,16.3,552.68,294.7,296.8661793
Davie ,NC,41434,41240,21.9,19.3,51.1,90.4,6.5,0.8,6.4,4.2,85.4,24.9,3419,25.9,80.6,26319,50139,13.4,264.11,156.2,156.8816024
Duplin ,NC,59882,58505,24.9,15.8,50.8,70.2,26,0.6,21.6,12.7,71.4,10.4,4154,23.8,67.7,17122,34433,26.3,816.22,71.7,73.36502414
Durham ,NC,294460,267587,22,11.1,52.1,53,38.6,4.9,13.4,13.9,86.9,45.1,15057,21.5,55,29347,51853,18.5,285.98,935.7,1029.652423
Edgecombe ,NC,54933,56552,23.2,16.9,53.6,40.1,57.7,0.3,4.2,2.5,79.5,10.5,3909,21.6,62.9,16971,33960,25.2,505.34,111.9,108.7050303
Forsyth ,NC,365298,350670,23.7,14.4,52.5,67.5,27.1,2.3,12.6,9.2,87,31.9,25296,20.6,64,26541,45724,18.6,408.15,859.2,895.0091878
Franklin ,NC,62860,60619,23,15.2,50.4,69.8,26.8,0.6,8,4.6,81.2,17.1,4275,30.2,76.5,21399,41696,16.1,491.68,123.3,127.8473804
Gaston ,NC,211127,206086,23.1,15.1,51.6,80.2,16.1,1.4,6.4,5,81,18,15458,24.4,66.8,22658,42017,17.9,356.03,578.8,593.0033986
Gates ,NC,11567,12197,21.6,17.8,51.2,63.7,33.2,0.2,2,1,83.3,11.6,1129,36.6,79.6,21187,46592,19.6,340.45,35.8,33.9756205
Graham ,NC,8644,8861,21.2,22.3,50.6,89.7,0.4,0.4,3.2,1.8,78.6,14.4,639,19.7,81.9,19780,33903,21.1,292.08,30.3,29.59463161
Granville ,NC,58500,59916,21.3,15.3,49,64.7,32.1,0.7,7.6,4,81.1,16.4,4877,27.6,74.9,22295,49852,15.4,531.57,112.7,110.0513573
Greene ,NC,21093,21362,21.5,14.8,45.8,59.2,36.6,0.5,14.7,8.2,76,11.6,1485,23.5,69.6,18441,40853,23.3,265.93,80.3,79.3178656
Guilford ,NC,512119,488406,22.8,13.8,52.5,58.4,34,4.6,7.6,9.7,87.9,33.2,31377,21.1,61,26461,45431,18.1,645.7,756.4,793.122193
Halifax ,NC,52970,54691,21.9,18.3,52.2,40.8,53.2,0.8,2.7,1.7,75.8,11.8,3537,21.9,61.8,17937,32329,27.4,724.09,75.5,73.15388971
Harnett ,NC,126666,114678,27.2,11.2,50.5,72.1,21.5,1.3,11.9,5.6,84.4,18.5,11155,28.3,68.2,20310,44625,17.2,594.99,192.7,212.8876116
Haywood ,NC,59471,59036,18.4,23.7,51.9,96.5,1.2,0.5,3.7,2.6,86.1,23.1,6138,22.9,74.4,24536,41557,16.6,553.69,106.6,107.4084777
Henderson ,NC,111149,106740,19.7,24.5,51.7,93,3.4,1.1,9.9,7.7,87.5,27.7,11432,21.6,74.3,25670,44815,14.1,373.07,286.1,297.9306832
Hertford ,NC,24308,24669,19.8,17.5,50.6,36.3,59.8,0.8,3.8,4.2,77.5,15.4,1718,23.8,63.1,17863,33406,26,353.06,69.9,68.84948734
Hoke ,NC,51611,46952,28.8,8.4,50.6,50.4,34.3,1.5,12.5,5.7,84,17.2,4632,25.3,67.9,18761,45489,22.9,390.74,120.2,132.0852741
Hyde ,NC,5676,5810,18,17.7,44.5,68,29.6,0.5,8,2.8,78.8,10.7,271,19.9,77.6,18408,42279,25.6,612.7,9.5,9.263913824
Iredell ,NC,166675,159437,23.9,14.6,50.8,83.1,12.2,2.4,7.3,5.7,85.9,23.9,11179,24.4,74.1,26467,50329,13.8,573.83,277.8,290.4605894
Jackson ,NC,40981,40271,17.1,17.7,50.9,85.2,2.3,1,5.1,4.6,85,27.9,3137,19.7,67.8,21014,36951,21.8,490.76,82.1,83.50517565
Johnston ,NC,181423,168878,26.4,12.3,50.9,80.4,16,0.8,13.4,7.6,83.2,20.4,12752,28.7,71.6,22410,49711,17.2,791.3,213.4,229.2720839
Jones ,NC,10076,10153,19,21.7,51.3,65.9,31.1,0.5,4.4,4,83.8,11.1,1067,26.8,69.5,20105,36213,16.7,470.71,21.6,21.40596121
Lee ,NC,59662,57866,25.3,15,50.8,75.2,20.1,1.1,19.5,11.3,80.2,20.2,4728,23.4,69.1,21449,44819,18.9,254.96,227,234.0053342
Lenoir ,NC,58485,59495,22.9,17.9,52.2,56.3,41,0.7,7.5,3.7,79,14,4369,22.1,60.1,19760,35770,23.7,400.59,148.5,145.9971542
Lincoln ,NC,79829,78265,21.9,15.9,50.2,91.7,5.8,0.6,7.2,5,83.6,19.4,5983,29.4,77.1,25550,48940,15.6,297.94,262.7,267.9364973
McDowell ,NC,44965,44996,20.7,18.5,49.8,92.8,4.1,0.9,5.5,3.4,80.8,13.9,3620,23.6,71.5,18932,35297,21.9,440.61,102.1,102.0517011
Macon ,NC,33875,33922,18.9,26.4,51.4,95.6,1.8,0.8,6.6,5.1,85.7,20.5,4073,21.8,74,23213,37892,21.3,515.56,65.8,65.70525254
Madison ,NC,21157,20764,19.1,19.8,50.3,95.9,1.8,0.5,2.7,2.5,80.8,18.6,1502,28.5,74.8,19902,38598,17.3,449.57,46.2,47.0605245
Martin ,NC,23454,24505,20.7,20.6,53,55,42.9,0.5,3.6,2.2,81.5,11.9,1691,23.8,69.9,18783,35111,23.2,461.22,53.1,50.85208794
Mecklenburg ,NC,1012539,919628,24.6,10,51.9,59.2,32.2,5.5,12.7,13.9,88.8,40.7,52506,24.7,59.5,32482,55444,15.4,523.84,1755.5,1932.916539
Mitchell ,NC,15311,15579,18.6,23.4,50.5,96.7,0.7,0.5,4.6,2.3,81.3,16.9,995,23,76.5,21404,37680,18.3,221.43,70.4,69.14600551
Montgomery ,NC,27395,27798,23.2,18.5,51.4,77.1,19,1.5,15.2,8.6,71.8,15.1,1794,25,69.6,18865,31830,25.6,491.76,56.5,55.70806898
Moore ,NC,93077,88247,21.2,23.8,52,82.8,13,1.2,6.3,5.6,89.7,31.3,10134,23.9,74.1,28913,49544,15.6,697.84,126.5,133.3787115
Nash ,NC,94357,95840,22.9,16.4,51.9,56.8,39.4,1,6.6,4.5,83.1,19.2,6939,21,64.1,22880,43084,17,540.41,177.3,174.6026165
New Hanover ,NC,216298,202667,19.4,15.8,52,81.3,14.6,1.4,5.4,5.6,90.6,36.6,17387,20.2,58.9,29679,49835,16.9,191.53,1058.1,1129.316556
Northampton ,NC,20463,22099,19,23,51.8,39.6,58.4,0.3,2,1.4,72.9,9.4,1427,24.9,72.9,17919,31433,26.3,536.59,41.2,38.13526156
Onslow ,NC,187589,177772,25.4,8.4,45.4,76.6,15.8,2.2,12.1,4.2,90.2,18,22379,24.3,54.8,21084,45450,15.2,762.74,233.1,245.9409497
Orange ,NC,140420,133801,20.4,11.2,52.2,76.8,12.2,7.7,8.4,12.8,91,55.8,5892,22,60.5,34465,55569,17.8,397.96,336.2,352.8495326
Pamlico ,NC,12948,13144,16.5,26,48.7,77,20.1,0.6,3.5,4.1,85.7,18.7,1459,24.5,81.6,23724,43853,13.8,336.54,39.1,38.47388126
Pasquotank ,NC,39787,40661,21.6,15.5,50.8,58.5,37.3,1.5,4.7,2.9,83.7,20.1,3941,24.1,63.7,22745,46053,18.4,226.88,179.2,175.3658322
Pender ,NC,56250,52217,22.5,17.1,50,79.7,16.8,0.7,6.4,3.9,86.7,21.7,4856,29.2,77.3,23526,44524,19.3,869.8,60,64.67003909
Perquimans ,NC,13466,13453,20.3,24.3,51.9,73.2,24.4,0.5,2.3,2.1,83.7,18.4,1595,29.5,77.2,23809,43709,20.2,247.09,54.4,54.49836092
Person ,NC,39132,39464,21.8,17.5,51.4,69.9,27.3,0.5,4.2,2.6,83,14.7,2824,30.1,71.9,21292,42317,18,392.32,100.6,99.74510604
Pitt ,NC,175354,168148,21.9,11.3,52.8,60.7,34.8,1.9,5.9,4.8,85.8,28.1,9662,19.5,54.4,23029,40718,24.3,651.98,257.9,268.9561029
Polk ,NC,20357,20510,17.3,27.5,52.2,92.9,4.5,0.6,5.6,4.1,87,26.9,2006,24.9,74.2,24611,44745,16.7,237.79,86.3,85.60915093
Randolph ,NC,142778,141752,23.6,16.1,50.6,89.8,6.3,1.2,11.1,6.8,78,13.8,10305,23.2,73.8,20523,41208,17.8,782.52,181.1,182.4592343
Richmond ,NC,45733,46639,23.6,16.1,51.1,62.4,31.4,1,6.4,4.2,80.1,12.4,4027,19.8,64.4,17236,32384,25.9,473.82,98.4,96.51977544
Robeson ,NC,134760,134168,25.9,13,51.6,32.2,24.7,0.8,8.1,5.6,71.5,12.5,7453,23,64.9,15343,29806,31.7,949.22,141.3,141.9691958
Rockingham ,NC,91696,93643,21,18.4,51.7,78.1,19,0.6,5.9,3.7,79,12.9,6818,26.4,70.6,21102,38567,17.9,565.55,165.6,162.1359738
Rowan ,NC,138630,138428,22.8,16.3,50.7,80.1,16.6,1.1,8.2,5.3,81,17,10374,23.4,68.8,20912,41495,18.8,511.37,270.7,271.095293
Rutherford ,NC,66600,67810,21.4,19.5,51.6,87.3,9.9,0.6,4.1,2.8,81.6,17,5593,23.1,71.4,19551,36334,21.5,564.15,120.2,118.0537091
Sampson ,NC,64050,63431,24.7,16,50.8,67.4,27,0.6,18.4,9.2,75,12.6,4359,25.1,69.2,19479,36496,22.8,944.74,67.1,67.79643076
Scotland ,NC,35576,36157,23.5,16.1,50.8,46.4,39.2,0.8,2.9,2,77.6,14.3,2648,21.5,63.6,15679,29592,32.3,318.85,113.4,111.5759762
Stanly ,NC,60600,60585,21.7,17.6,50.2,84.7,11.3,2,3.9,2.9,80.6,16,4315,25.7,73.2,20504,42518,16.1,395.09,153.3,153.3827735
Stokes ,NC,46419,47401,20,19.1,50.9,93.9,4.2,0.4,2.9,1.5,81.1,13.4,3175,28,80.4,21311,42703,15.8,448.86,105.6,103.4153188
Surry ,NC,72968,73673,22.2,18.9,51.1,93.4,4.1,0.7,10.1,5.7,75.3,15,4760,25.3,72.8,20219,35641,19.9,532.17,138.4,137.1140801
Swain ,NC,14274,13981,22.7,18.5,51.7,65.7,1.3,0.6,4.7,2,82.1,16.3,1096,19.2,74.9,19626,36094,27.2,528,26.5,27.03409091
Transylvania ,NC,33045,33090,16.4,28.5,51.6,93.2,4.1,0.5,3.2,3.1,88.4,27.6,3710,23.7,76.3,23757,41781,14.3,378.53,87.4,87.29823264
Tyrrell ,NC,4115,4407,18,19.4,46.3,58.9,36.3,2.4,6.7,7.5,71.5,8.4,337,25.6,75.4,16658,34216,20.8,389.04,11.3,10.57731853
Union ,NC,218568,201292,28.6,11.3,50.6,83.2,12.1,2.2,11,9.1,87.8,31.8,12132,29.2,82.1,28894,65892,9.4,631.52,318.7,346.0983025
Vance ,NC,44614,45422,24.1,16.4,53.2,46.4,50.9,0.5,7.2,3.9,75.6,11.4,3202,23,62.5,17905,34987,28,253.52,179.2,175.9782266
Wake ,NC,998691,900993,25,10,51.3,69,21.3,6.4,10,12.8,91.6,48,54713,23.7,65.2,33166,66006,11,835.22,1078.8,1195.722085
Warren ,NC,20231,20972,18.9,21.5,49.5,41,51.5,0.4,4,2.4,76.5,13.5,1915,29.4,70.6,19052,34285,26.2,428.46,48.9,47.21794333
Washington ,NC,12570,13228,21.3,21.1,53,48.3,48.7,0.4,4.8,2,79,11.7,998,25.3,72.3,18779,34936,23.7,348.14,38,36.10616419
Watauga ,NC,52560,51079,13.2,14.2,50,95.1,1.9,1.1,3.5,3.5,89,37.9,3180,18.5,54.9,21854,34293,31.3,312.56,163.4,168.1597133
Wayne ,NC,124456,122623,24.1,14.5,50.8,63.6,31.9,1.4,11.1,6.9,81.7,16.4,11977,21.9,60.7,21557,41731,22.1,553.09,221.7,225.0194363
Wilkes ,NC,68838,69340,21.2,19.9,50.7,93.3,4.5,0.5,5.8,3.4,74.2,12.5,4760,24.3,73.9,19029,33159,22.7,754.28,91.9,91.26319139
Wilson ,NC,81401,81234,23.7,16.3,52.6,57,39.8,1.1,10.1,7,78.5,17.9,6104,19.7,60.9,20972,39204,23.2,368.17,220.6,221.0962327
Yadkin ,NC,37792,38406,21.9,18.3,50.4,94.3,3.5,0.3,10.7,5.7,78.8,13.1,2514,28,77.6,22726,40371,18.5,334.83,114.7,112.8692172
Yancey ,NC,17614,17818,19.3,23.5,50.8,96.6,1.2,0.2,4.9,2.7,83.2,17.9,1297,27.1,76.9,20257,38579,20.1,312.6,57,56.34676903
Adams ,ND,2384,2343,19.3,25.2,51.3,96.1,0.8,0.8,1.2,1.4,93,23.2,225,18.5,73.5,31502,47798,9.9,987.62,2.4,2.413883882
Barnes ,ND,11144,11066,20.4,20.2,50,94.6,1.5,1.2,1.6,2.6,89.9,26.2,967,17.2,70.1,31721,50274,9.3,1491.55,7.4,7.471422346
Benson ,ND,6833,6660,34.2,12.2,48.5,43,0.1,0.4,2.2,0.8,83,11.6,428,17.4,64.5,18162,36491,35.8,1388.71,4.8,4.920393747
Billings ,ND,901,783,19,17.8,44.6,95,0.6,3.7,1.8,3.7,88.9,21.6,72,27.2,78,37972,57083,8.4,1148.85,0.7,0.784262523
Bottineau ,ND,6650,6429,21,21.3,47.8,94.3,0.7,0.5,2,2.2,88.1,20.9,763,22.8,76.9,31969,51667,11,1668.42,3.9,3.985806931
Bowman ,ND,3247,3151,24.2,19.5,48.3,95.8,0.3,0.2,4.7,0.5,89.1,20.7,243,14.2,77.2,32045,56964,8.2,1161.81,2.7,2.794777115
Burke ,ND,2245,1968,23.4,18,46.7,96.5,0.6,0.6,2.1,3.8,87.4,17.4,161,22.7,67.6,32908,53693,12.4,1103.57,1.8,2.034306841
Burleigh ,ND,90503,81308,22.7,14.5,50.2,92.3,1.2,0.7,1.9,1.4,93.4,33.2,6430,18.8,71.2,32876,61811,8.2,1632.65,49.8,55.43319144
Cass ,ND,167005,149778,22.1,10.8,49.3,90.5,3.7,2.6,2.4,5.4,94.6,37.2,10037,16.4,53.4,30529,52590,13,1764.94,84.9,94.62361327
Cavalier ,ND,3855,3993,19.7,26.6,49.3,97.1,0.3,0.3,1.1,2.1,87.8,16.4,397,12.8,84.7,32028,55904,4.9,1488.75,2.7,2.589420655
Dickey ,ND,5150,5289,22.6,21.9,50.3,96.3,1,0.5,3.4,0.6,86.8,23.6,396,12.9,72.5,24644,47359,9.7,1131.47,4.7,4.551601015
Divide ,ND,2432,2071,20.9,23.1,48.3,96.6,0.7,0.7,3.9,4.2,90.6,21.8,189,14.8,85.2,36303,55057,8.4,1260.79,1.6,1.92894931
Dunn ,ND,4399,3536,22.7,14.3,46.5,85.9,0.6,1.5,3.8,3.4,90.1,17.9,290,22.9,82.3,33788,60500,10.1,2008.46,1.8,2.190235305
Eddy ,ND,2377,2385,22.2,23.8,49.6,93,0.3,0.4,3.1,0.7,88.1,20.1,209,18.9,74.4,27323,44250,13.8,630.17,3.8,3.771998032
Emmons ,ND,3422,3550,20,27.6,48.7,98.1,0.1,0.1,1.1,0.5,81.6,14.4,348,18.9,80.9,27690,38477,14.9,1510.44,2.4,2.265565001
Foster ,ND,3362,3343,21.4,22,50.1,97.4,0.3,0.5,1.2,1.9,86.4,19.6,223,14.3,73.8,33063,50677,11.1,635.45,5.3,5.290738846
Golden Valley ,ND,1825,1680,23.6,18.5,49.5,96.7,0.8,0.2,2.7,0.1,91.2,18.3,89,13.7,72.3,26113,36100,12.4,1000.79,1.7,1.823559388
Grand Forks ,ND,70138,66861,20.4,11.2,48.5,88.8,3.5,2.3,3.8,4.2,92.5,32.6,5258,13.7,52.6,27026,46745,16,1436.38,46.5,48.82969688
Grant ,ND,2361,2394,18.5,27.7,49.1,96.1,0,0.2,1,0.8,86.5,16.4,240,20.9,76.2,28129,41694,14.2,1659.14,1.4,1.423026387
Griggs ,ND,2319,2420,18.5,28.7,49,98.4,0.4,0.1,0.8,0.9,83.4,14.8,285,15.8,76.3,27197,45542,7,708.82,3.4,3.271634548
Hettinger ,ND,2660,2477,22.7,22.9,51.5,94.5,0.6,0.2,2.3,0.3,87.2,17.3,241,17.2,83.1,27910,47743,10.7,1132.22,2.2,2.349366731
Kidder ,ND,2424,2435,21.3,21,48.7,97.3,0.5,0.7,3.8,2.1,84,19.4,216,23.6,77,28904,50000,10.4,1351.19,1.8,1.793974201
LaMoure ,ND,4149,4139,21,25.5,48.7,98.4,0.3,0.1,1.1,0.4,87.3,21.5,287,17.7,80.2,31989,53691,8.7,1145.94,3.6,3.620608409
Logan ,ND,1944,1990,21.3,27,49.2,97.9,0.3,0.3,0.9,0.4,76.9,13,178,17.4,84.2,27887,49076,10.1,992.82,2,1.958058863
McHenry ,ND,5988,5395,23.2,19,47.5,97.2,0.3,0.4,2.6,1.4,88.4,16.3,537,28.1,77.5,28331,45343,14.2,1873.95,2.9,3.195389418
McIntosh ,ND,2801,2809,19,31.3,51.2,97.7,0.3,0.6,2.1,0.9,75.4,18.6,238,12,83.7,25427,36066,13.8,974.73,2.9,2.873616283
McKenzie ,ND,10996,6360,29.4,8.3,46.6,81.7,1.2,0.7,6.8,0.5,89.9,22.3,534,18.5,67.1,33078,64866,13.8,2760.32,2.3,3.983596105
McLean ,ND,9578,8962,22,21.5,48.9,90.6,0.3,0.1,2.1,0.7,90.5,17.5,875,21.3,77.5,30992,53565,10.9,2110.88,4.2,4.537444099
Mercer ,ND,8746,8424,22.3,17,48.1,95.4,0.4,0.3,2.5,0.6,88.8,20.5,754,17.7,82.9,31767,66534,7.3,1042.96,8.1,8.385748255
Morton ,ND,29822,27471,23.3,14.9,49.4,92.6,0.9,0.4,2.7,0.6,90.2,24.1,2036,19.5,79.3,29389,60065,8.5,1926.27,14.3,15.48173413
Mountrail ,ND,9782,7673,25,10.8,44.8,68.7,0.9,0.3,6.2,1.3,90.2,18.3,754,16.3,72.2,33803,68722,12.3,1825.3,4.2,5.359119049
